2012 US Senator Election,Republican,Democratic,Other,
Alabama,795606,22484,0,
Alaska,135445,129431,17524,
Arizona,1104457,1036542,0,
Arkansas,478819,334174,34007,
California,4713887,7864624,360745,
Colorado,983891,944203,112926,
Connecticut,637857,815077,0,
Delaware,98823,130655,4560,
District of Columbia,267070,21381,0,
Florida,4523451,3458267,0,
Georgia,1358088,1160811,48862,
Hawaii,160994,269489,0,
Idaho,285596,151574,0,
Illinois,1538522,1929637,135316,
Indiana,1133621,1281181,145282,
Iowa,588575,494370,48555,
Kansas,460350,0,405841,
Kentucky,806787,584698,44240,
Louisiana,947374,639229,13034,
Maine,413505,190254,12968,
Maryland,674249,1402092,420554,
Massachusetts,12989944,791950,101819,
Michigan,1767386,2735826,0,
Minnesota,850227,1053205,78096,
Mississippi,710746,562949,11889,
Missouri,1063698,1484683,164991,
Montana,213709,148184,7933,
Nebraska,347636,170127,22128,
Nevada,457656,446080,0,
New Hampshire,235347,251184,1628,
New Jersey,791297,1043866,31182,
New Mexico,229097,286409,0,
New York,1757702,4822330,0,
North Carolina,1423259,1377651,114371,
North Dakota,158491,161337,0,
Ohio,2435740,2762757,0,
Oklahoma,558166,234307,28260,
Oregon,538847,814537,108234,
Pennsylvania,2509132,3021364,0,
Rhode Island,223675,92684,539,
South Carolina,672941,456726,86201,
South Dakota,140741,82456,56215,
Tennessee,850087,437848,86130,
Texas,2861531,1597387,189440,
Utah,595972,275880,0,
Vermont,72898,207848,0,
Virginia,1055940,1073667,54866,
Washington,1213924,1855493,0,
West Virginia,281820,156360,15509,
Wisconsin,1380126,1547104,0,
Wyoming,121554,29377,17459,
