			State	Turnout Rates		
Year	ICPSR State Code	Alphanumeric State Code		VEP Total Ballots Counted	VEP Highest Office	VAP Highest Office
2014	0	0	United States	36.7	36.0	33.2
2014	41	1	Alabama		33.2	32.9	31.5
2014	81	2	Alaska		54.8	54.2	51.0
2014	61	3	Arizona		34.1	33.4	29.5
2014	42	4	Arkansas	40.3	40.1	37.5
2014	71	5	California	30.7	29.9	24.7
2014	62	6	Colorado	54.7	53.7	49.4
2014	1	7	Connecticut	42.5	42.3	38.5
2014	11	8	Delaware	34.9	34.3	31.8
2014	55	9	District of Columbia	35.7	35.3	32.0
2014	43	10	Florida		43.3	42.8	37.6
2014	44	11	Georgia		38.6	38.2	33.8
2014	82	12	Hawaii	36.5	36.2	32.9
2014	63	13	Idaho	39.8	39.3	36.5
2014	21	14	Illinois	40.8	40.2	36.6
2014	22	15	Indiana	28.7	27.8	26.7
2014	31	16	Iowa	50.3	49.8	47.3
2014	32	17	Kansas	43.3	42.5	39.8
2014	51	18	Kentucky	44.9	44.2	42.2
2014	45	19	Louisiana	44.9	43.9	41.5
2014	2	20	Maine	58.7	58.1	57.0
2014	52	21	Maryland	42.0	41.7	37.3
2014	3	22	Massachusetts	44.7	44.1	40.2
2014	23	23	Michigan	43.2	42.7	41.0
2014	33	24	Minnesota	50.6	50.4	47.2
2014	46	25	Mississippi		29.0	27.9
2014	34	26	Missouri	33.6	31.7	30.5
2014	64	27	Montana	47.5	46.9	46.1
2014	35	28	Nebraska	41.4	40.5	38.0
2014	65	29	Nevada	29.6	29.3	25.2
2014	4	30	New Hampshire	48.3	47.6	46.0
2014	12	31	New Jersey	32.5	31.1	27.0
2014	66	32	New Mexico		35.4	32.3
2014	13	33	New York	29.0	28.2	24.6
2014	47	34	North Carolina	41.2	40.8	37.9
2014	36	35	North Dakota	45.0	43.8	42.7
2014	24	36	Ohio	36.2	35.1	34.1
2014	53	37	Oklahoma	30.0	29.9	28.1
2014	72	38	Oregon	53.4	50.9	47.2
2014	14	39	Pennsylvania	36.5	36.1	34.6
2014	5	40	Rhode Island	42.4	41.7	38.5
2014	48	41	South Carolina	35.2	34.8	33.1
2014	37	42	South Dakota	44.7	44.3	43.1
2014	54	43	Tennessee	29.8	28.6	27.2
2014	49	44	Texas		28.3	23.8
2014	67	45	Utah	30.3	29.7	27.5
2014	6	46	Vermont	40.8	38.9	38.1
2014	40	47	Virginia	36.8	36.6	33.7
2014	73	48	Washington	43.1	41.2	37.1
2014	56	49	West Virginia	32.0	31.2	30.7
2014	25	50	Wisconsin	56.9	56.6	53.9
2014	68	51	Wyoming	39.7	39.0	37.3
2012	0	0	United States	58.6	58.0	53.6
2012	41	1	Alabama		58.6	56.0
2012	81	2	Alaska	58.9	58.7	55.3
2012	61	3	Arizona	53.0	52.6	46.5
2012	42	4	Arkansas	51.1	50.7	47.7
2012	71	5	California	55.7	55.1	45.1
2012	62	6	Colorado	70.6	69.9	64.5
2012	1	7	Connecticut	61.4	61.3	55.6
2012	11	8	Delaware		62.3	57.8
2012	55	9	District of Columbia	61.6	61.5	55.5
2012	43	10	Florida	63.3	62.8	55.1
2012	44	11	Georgia	59.3	59.0	52.3
2012	82	12	Hawaii	44.5	44.2	39.9
2012	63	13	Idaho	61.0	59.8	55.6
2012	21	14	Illinois	59.3	58.9	53.3
2012	22	15	Indiana	56.0	55.2	52.9
2012	31	16	Iowa	70.6	70.3	67.1
2012	32	17	Kansas	58.2	56.9	53.5
2012	51	18	Kentucky	56.2	55.7	53.4
2012	45	19	Louisiana	60.8	60.2	57.0
2012	2	20	Maine	69.3	68.2	67.0
2012	52	21	Maryland	67.3	66.6	59.5
2012	3	22	Massachusetts	66.2	65.9	60.2
2012	23	23	Michigan	65.4	64.7	62.0
2012	33	24	Minnesota	76.4	76.0	71.4
2012	46	25	Mississippi		59.3	57.2
2012	34	26	Missouri		62.2	59.6
2012	64	27	Montana	63.5	62.5	61.6
2012	35	28	Nebraska	61.1	60.3	56.9
2012	65	29	Nevada	56.5	56.4	48.2
2012	4	30	New Hampshire	70.9	70.2	67.8
2012	12	31	New Jersey	62.2	61.5	53.2
2012	66	32	New Mexico	54.8	54.6	49.8
2012	13	33	New York	53.5	53.1	46.1
2012	47	34	North Carolina	65.4	64.8	60.1
